lon,lat,iso3c
-72.59498907920998,40.91866217394418,USA
-72.46436527124919,40.91278359531925,USA
-72.55260238948654,40.92518164768301,USA
-72.45364900406769,40.92545166018439,USA
-72.55985743341814,40.942939706641354,USA
-72.55303367095108,40.94596184057326,USA
-72.5374484389117,40.96241365577286,USA
-72.40891779630293,41.05618895591715,USA
-72.31028850182764,41.09511347147972,USA
-72.4108715244206,41.01907784203095,USA
-72.31140777365984,41.04901002672309,USA
-72.31373931571132,41.09260158785194,USA
-72.08640572452421,41.00841187388181,USA
-72.08982804508469,41.00703369536704,USA
-72.09339536077094,41.0006048004426,USA
-72.09682104244858,40.99909009805528,USA
-72.42432388618852,41.02241904427943,USA
-72.42770589107859,41.02246507302677,USA
-72.43791224905758,41.02004120784346,USA
-72.42106382055171,41.01725021946729,USA
-72.48316570266418,40.9642759852062,USA
-72.51701394704892,40.96215319458148,USA
-72.54471975294621,40.93175956219383,USA
-72.39321642383547,41.06612343835029,USA
-72.39158429442239,40.97740364301444,USA
-72.41908597431332,40.95829259025668,USA
-72.43722872030031,41.02610461419294,USA
-72.44472501877185,40.98972088732064,USA
-72.39990800810688,41.0548058547502,USA
-72.4057311185508,41.01380286732624,USA
-72.39994234457538,41.06504445015036,USA
-72.26849070947931,41.09092088745711,USA
-72.36699999364366,41.019060104940955,USA
-72.39673187137939,41.062153499987765,USA
-72.3069999938879,41.10629343387722,USA
-72.4409999939947,41.022648189970916,USA
-72.43099999365053,41.02251099529427,USA
-72.38099999358265,41.03289691022088,USA
-72.37999999389537,41.035442526869126,USA
-72.36999999330652,41.0191078124633,USA
-72.31099999388844,41.09768259337594,USA
-72.06949999285571,41.017528531357215,USA
-73.4726102305304,41.04886632082337,USA
-73.25408983885926,41.113748228458405,USA
-73.50961118713397,41.01406799322662,USA
-73.13328289786882,41.10723706251898,USA
-72.7689960557486,41.2581372864759,USA
-71.90781534561303,41.332028984597216,USA
-72.81204089295308,41.25083958702088,USA
-72.79866829458871,41.24562474034723,USA
-73.4594382190092,41.048469825671845,USA
-72.50762924404147,41.25481058428651,USA
-72.5876385742709,41.24608040142376,USA
-72.51522779476808,41.265805855620755,USA
-72.61905476804846,41.27008423352335,USA
-71.98192802480891,41.314676506844634,USA
-71.9879513188412,41.3132312552814,USA
-73.34244278015255,41.11560365404082,USA
-73.35176416606167,41.09938474679036,USA
-73.34162716921232,41.11743560660862,USA
-73.06707549451345,41.19290731563073,USA
-72.76342778081484,41.24569523744204,USA
-72.7747988788983,41.25767664806044,USA
-72.76779974318148,41.25451727645157,USA
-72.74535299126445,41.248929830628086,USA
-72.73645827559648,41.259035467149836,USA
-72.73706656530719,41.257935742410844,USA
-72.60745108030311,41.27000695909791,USA
-71.98244031328568,41.33839378485709,USA
-72.67255822006496,41.26660639697316,USA
-73.50991647881253,41.01313644015801,USA
-73.51096083968271,41.014434430205164,USA
-73.50779042308005,41.01359336650589,USA
-72.53371900767085,41.26448854593883,USA
-72.67575624502986,41.2624156504458,USA
-73.42883173351233,41.05859590944697,USA
-73.46780646632736,41.05104542600183,USA
-73.37038386579819,41.10264071398004,USA
-72.7607469678122,41.25416920264077,USA
-72.5220997569367,41.269136190766865,USA
-71.98131051088262,41.33887412120798,USA
-71.98069697862968,41.336073651778634,USA
-71.98100247272927,41.31346233567877,USA
-73.06461635670173,41.191507044510765,USA
-72.62291478823182,41.26923391030032,USA
-72.65066713733529,41.265828626300454,USA
-69.29893865266351,43.993789030973765,USA
-69.54513961349514,43.99403216862266,USA
-69.53902593285568,44.02578510053907,USA
-69.54273951785665,44.011167505436156,USA
-69.54629007722475,43.993460088576015,USA
-69.54808196871855,44.012225013663716,USA
-69.56852794562214,43.97964384981639,USA
-69.51639070925364,44.04489780345569,USA
-69.53823928847878,44.00442643664247,USA
-68.20857471289135,44.4781437028073,USA
-70.09415851065062,43.72745001386414,USA
-70.18807016856935,43.712230014251844,USA
-68.56667666178043,44.36227466978433,USA
-68.568981844541,44.35889347402725,USA
-68.57443637737659,44.347064308982674,USA
-69.54264638788128,44.00978948658758,USA
-69.54021585013726,44.028023390420806,USA
-68.66951435609937,44.21137002973974,USA
-68.66271109859235,44.21268413860381,USA
-69.13035682886836,44.057420071626765,USA
-69.13530697043113,44.062741994790066,USA
-68.34208591545394,44.44887085125463,USA
-68.703008164108,44.394629725347315,USA
-68.57537901131346,44.20608756419031,USA
-69.86942349145268,43.91150876438771,USA
-69.71412808279507,43.904837512459316,USA
-69.86264012148101,43.875669729934,USA
-70.03099754636692,43.84879645010105,USA
-68.57032684688734,44.20467506004065,USA
-68.33318146010896,44.447141220342615,USA
-68.95032376486186,44.370625014781915,USA
-69.12716337332677,44.03937006524053,USA
-69.12548877475723,44.03931918599643,USA
-69.12520794523195,44.04884723637667,USA
-69.1266594701275,44.038823766291024,USA
-69.12570961329617,44.03917167782475,USA
-69.31637428781902,43.94919387266257,USA
-69.6143160107818,44.02656430083724,USA
-70.02179168320166,43.85373522717648,USA
-69.54607300764103,44.007966247158976,USA
-69.54451409082952,44.015702630764544,USA
-68.44777016535458,44.30677001574322,USA
-68.26895760162283,44.44788718690627,USA
-68.3288949132118,44.43959245099781,USA
-68.64628999479946,44.136276269775706,USA
-69.54425654537316,43.99432142822519,USA
-69.54060015392973,44.01041667756473,USA
-70.15749741248482,43.70803056859777,USA
-68.69177931598244,44.39236967486814,USA
-69.3159617634503,43.94993584766368,USA
-69.54277455527651,44.021111350845146,USA
-69.54403048753636,44.02051523502891,USA
-69.54083306705256,44.0228267941451,USA
-69.543508604551,44.02293292721805,USA
-69.5443248832366,44.00237478718467,USA
-69.56312016303873,43.907410014701476,USA
-68.86088027611561,44.161004825913665,USA
-68.23615664906228,44.5824606769344,USA
-70.02027734041759,43.85299754298038,USA
-68.24349252666285,44.57562716810787,USA
-68.23147482975877,44.57878945945685,USA
-70.01815016557492,43.85235001588849,USA
-68.85631781796923,44.16147716792083,USA
-69.5140535669784,44.045763366561076,USA
-68.37935809021677,44.422882171393645,USA
-68.36708779727944,44.41427944788495,USA
-68.38367701961613,44.41831311004068,USA
-70.34435303878665,43.551549723833915,USA
-68.44571684661405,44.30778207226114,USA
-70.34208110661827,43.5535964965714,USA
-70.34301673034008,43.55501627385796,USA
-69.97667779270073,43.84339694028583,USA
-69.36067226398144,43.99721737313863,USA
-69.97519329339035,43.84707144095358,USA
-69.36231115097407,43.9950400598117,USA
-69.36251115256442,43.99280765267639,USA
-70.14568652131612,43.71572715007924,USA
-69.95397971971688,43.79501655723256,USA
-69.5378887522302,44.00729147183044,USA
-69.5450438878595,43.91388616118855,USA
-69.54811780358409,43.90578843409058,USA
-70.13945479134932,43.79177607993749,USA
-69.56254075232897,43.90745144310691,USA
-69.56603016607367,43.90956001617367,USA
-70.16289378981591,43.73360951231163,USA
-69.61455571959688,44.02488890250078,USA
-70.10754966770858,43.78189229125627,USA
-69.62081677805844,44.02266947296514,USA
-69.61460996867697,44.02684127521369,USA
-69.61406651297682,44.0249966142369,USA
-69.89849130481363,43.870523179242944,USA
-69.61618647981756,44.02303615012146,USA
-70.10076717446171,43.77776467015176,USA
-68.34780724029333,44.4330802153719,USA
-68.34779396397177,44.429423574423005,USA
-69.41335320207214,43.98559129700744,USA
-68.92624174771403,44.32042482697394,USA
-69.54776912824425,44.01506191913185,USA
-69.5190018421829,44.04583906523694,USA
-68.2505728732233,44.53499965418174,USA
-69.74651204280582,43.816454630991274,USA
-69.73688431550214,43.8319365824318,USA
-68.44777016535458,44.30677001574322,USA
-68.44771255422441,44.30763399117509,USA
-68.44777016535458,44.30677001574322,USA
-69.5643034072623,43.984180361839485,USA
-70.86850350813529,43.12113133217551,USA
-70.85651892313163,43.10068923180552,USA
-70.86363782452995,43.11160689038401,USA
-70.84647505030237,43.125964801696256,USA
-70.8360566207956,43.1161720430943,USA
-70.86859305365766,43.12385597224941,USA
-70.70861111112131,43.06833332790389,USA
-70.83535130849141,43.116258145566675,USA
-70.7033696917075,42.965073949535814,USA
-70.62486550179682,42.94265899671896,USA
-70.71426306259997,42.957779914011304,USA
-70.86667006355427,43.124854673792086,USA
-70.86408302778935,43.11530861907982,USA
-70.83539951131372,43.116251210932724,USA
-70.84932852338208,43.119826912439066,USA
-70.65375005381676,42.96041648736006,USA
-70.84589807336506,43.11681230001574,USA
-70.84722232310077,43.12785868222498,USA
-70.85886243514865,43.11937417016324,USA
-70.8566754434855,43.11799307974897,USA
-70.88782193521378,43.13295681045772,USA
-70.85537386871336,43.115960800956785,USA
-70.85593087995261,43.11673767519175,USA
-70.85478274886546,43.12594280702544,USA
-70.85001602538439,43.12839874257407,USA
-70.85207943146322,43.128544211971544,USA
-70.85479604643281,43.116677425770035,USA
-70.8465542325219,43.11823255498706,USA
-70.85211275528577,43.120514001175884,USA
-70.88833693897853,43.132881023904,USA
-70.86195773753283,43.128239471689604,USA
-70.84231151744783,42.9149837194601,USA
-70.83325899180437,42.897525640935136,USA
-70.86481212641756,43.111627884878786,USA
-70.86420950310388,43.108797623625996,USA
-70.86394120871189,43.10565870191474,USA
-70.84828763694645,43.13033383317956,USA
