"lon","lat","iso3c"
27.442156,37.151617,"TUR"
27.461611,37.190819,"TUR"
26.820278,38.925556,"TUR"
15.206797,44.025197,"HRV"
27.154255,37.490784,"TUR"
27.425543,37.261517,"TUR"
27.4378,37.288647,"TUR"
22.108611,38.367222,"GRC"
24.0475,38.368056,"GRC"
22.954361,38.187611,"GRC"
22.9155,38.191722,"GRC"
22.910056,38.185972,"GRC"
19.474311,40.330672,"ALB"
13.998367,44.890117,"HRV"
15.39225,43.89075,"HRV"
13.677469,45.131158,"HRV"
15.0636,44.006506,"HRV"
22.271,38.344222,"GRC"
20.475861,38.207778,"GRC"
20.463139,38.236778,"GRC"
20.457472,38.242278,"GRC"
27.153992,37.434914,"TUR"
27.393506,37.267956,"TUR"
0,39.826635,"ESP"
-0.201714,38.495098,"ESP"
0.033881,38.618481,"ESP"
-1.486522,37.438998,"ESP"
27.511146,37.188601,"TUR"
27.39366,37.254709,"TUR"
27.493661,37.169234,"TUR"
27.473698,37.16628,"TUR"
26.33535,38.581221,"TUR"
26.350533,38.577638,"TUR"
27.238942,37.7556,"TUR"
27.727219,37.451919,"TUR"
20.045399,39.679452,"GRC"
20.09096,39.654267,"GRC"
20.089433,39.666049,"GRC"
21.074733,38.42549,"GRC"
21.066616,38.461173,"GRC"
23.617372,37.155186,"GRC"
23.607533,37.167922,"GRC"
23.286672,38.204864,"GRC"
26.825873,38.915094,"TUR"
26.823537,38.903594,"TUR"
132.452944,33.042417,"JPN"
27.380664,37.182232,"TUR"
27.370522,37.187652,"TUR"
27.382566,37.183525,"TUR"
27.380859,37.182623,"TUR"
14.411056,44.965028,"HRV"
14.377111,44.986833,"HRV"
14.362806,44.70275,"HRV"
14.501639,44.984167,"HRV"
14.498639,45.339139,"HRV"
16.033944,45.833278,"HRV"
135.908111,-34.715778,"AUS"
135.99175,-34.58175,"AUS"
-110.6063,24.386997,"MEX"
130.202778,32.274167,"JPN"
129.288611,28.172778,"JPN"
135.961653,-34.736756,"AUS"
135.904928,-34.712928,"AUS"
131.212707,31.410595,"JPN"
131.087222,31.289123,"JPN"
131.784962,32.639812,"JPN"
-79.343194,9.691944,"PAN"
130.808333,31.679167,"JPN"
131.9,32.8,"JPN"
-156.036833,19.445833,"USA"
136.645933,-33.931042,"AUS"
-110.339717,24.295,"MEX"
109.300058,12.600067,"VNM"
109.283517,12.616847,"VNM"
109.300092,12.633478,"VNM"
109.383572,12.583439,"VNM"
109.218361,12.575111,"VNM"
102.041389,12.501944,"THA"
