iso3c,animal,system,product,leach_mms_rate
ABW,sheep,mixed,milk,1.1443524999999999e-4
AFG,sheep,mixed,milk,1.26246e-4
AGO,sheep,mixed,milk,1.0153275e-4
AIA,sheep,mixed,milk,1.1443524999999999e-4
ALA,sheep,mixed,milk,6.259302408653847e-5
ALB,sheep,mixed,milk,5.346796000000001e-5
AND,sheep,mixed,milk,5.4579560000000006e-5
ARE,sheep,mixed,milk,1.2833025e-4
ARG,sheep,mixed,milk,0.00014500425000000001
ARM,sheep,mixed,milk,1.27437e-4
ASM,sheep,mixed,milk,1.0038072888585565e-4
ATG,sheep,mixed,milk,1.1443524999999999e-4
AUS,sheep,mixed,milk,1.0038072888585565e-4
AUT,sheep,mixed,milk,1.3981149e-4
AZE,sheep,mixed,milk,1.1076300000000001e-4
BDI,sheep,mixed,milk,7.562850000000001e-5
BEL,sheep,mixed,milk,1.3380885e-4
BEN,sheep,mixed,milk,9.260024999999999e-5
BES,sheep,mixed,milk,1.1358515217391304e-4
BFA,sheep,mixed,milk,9.706649999999999e-5
BGD,sheep,mixed,milk,7.5033e-5
BGR,sheep,mixed,milk,8.6149e-5
BHR,sheep,mixed,milk,1.089765e-4
BHS,sheep,mixed,milk,1.3190325e-4
BIH,sheep,mixed,milk,5.346796000000001e-5
BLM,sheep,mixed,milk,1.1358515217391304e-4
BLR,sheep,mixed,milk,1.2280004000000003e-4
BLZ,sheep,mixed,milk,1.34583e-4
BMU,sheep,mixed,milk,1.2082298000000002e-4
BOL,sheep,mixed,milk,1.5066149999999997e-4
BRA,sheep,mixed,milk,1.48875e-4
BRB,sheep,mixed,milk,1.1443524999999999e-4
BRN,sheep,mixed,milk,4.376925e-5
BTN,sheep,mixed,milk,1.1344275e-4
BWA,sheep,mixed,milk,1.0659450000000001e-4
CAF,sheep,mixed,milk,1.0986975e-4
CAN,sheep,mixed,milk,1.1301796e-4
CCK,sheep,mixed,milk,1.0038072888585565e-4
CHE,sheep,mixed,milk,1.743624e-4
CHL,sheep,mixed,milk,1.697175e-4
CHN,sheep,mixed,milk,1.1999325000000002e-4
CIV,sheep,mixed,milk,8.247675e-5
CMR,sheep,mixed,milk,1.0272375000000001e-4
COD,sheep,mixed,milk,9.4089e-5
COG,sheep,mixed,milk,1.0212825000000001e-4
COK,sheep,mixed,milk,1.0038072888585565e-4
COL,sheep,mixed,milk,1.44111e-4
COM,sheep,mixed,milk,4.376925e-5
CPV,sheep,mixed,milk,8.337e-5
CRI,sheep,mixed,milk,1.32201e-4
CUB,sheep,mixed,milk,9.736424999999999e-5
CUW,sheep,mixed,milk,1.1358515217391304e-4
CXR,sheep,mixed,milk,1.0038072888585565e-4
CYM,sheep,mixed,milk,1.1443524999999999e-4
CYP,sheep,mixed,milk,1.1969549999999998e-4
CZE,sheep,mixed,milk,8.87295e-5
DEU,sheep,mixed,milk,1.4145904e-4
DJI,sheep,mixed,milk,8.307225e-5
DMA,sheep,mixed,milk,1.4917275e-4
DNK,sheep,mixed,milk,5.8204170000000006e-5
DOM,sheep,mixed,milk,1.2207749999999998e-4
DZA,sheep,mixed,milk,9.617324999999999e-5
ECU,sheep,mixed,milk,1.137405e-4
EGY,sheep,mixed,milk,7.116225e-5
ERI,sheep,mixed,milk,9.617324999999999e-5
ESH,sheep,mixed,milk,6.044324999999999e-5
ESP,sheep,mixed,milk,3.2867630000000006e-5
EST,sheep,mixed,milk,6.259302408653847e-5
ETH,sheep,mixed,milk,8.247675e-5
FIN,sheep,mixed,milk,1.1091783e-4
FJI,sheep,mixed,milk,1.0038072888585565e-4
FLK,sheep,mixed,milk,1.4530199999999999e-4
FRA,sheep,mixed,milk,2.21129e-4
FRO,sheep,mixed,milk,7.294874999999999e-6
FSM,sheep,mixed,milk,1.0038072888585565e-4
GAB,sheep,mixed,milk,9.438675e-5
GBR,sheep,mixed,milk,7.294874999999999e-6
GEO,sheep,mixed,milk,1.20291e-4
GGY,sheep,mixed,milk,7.294875e-5
GHA,sheep,mixed,milk,8.069025e-5
GIB,sheep,mixed,milk,5.2377431538461544e-5
GIN,sheep,mixed,milk,9.498225e-5
GLP,sheep,mixed,milk,5.5381500000000005e-5
GMB,sheep,mixed,milk,9.379125e-5
GNB,sheep,mixed,milk,5.0319749999999995e-5
GNQ,sheep,mixed,milk,9.498225e-5
GRC,sheep,mixed,milk,5.2377431538461544e-5
GRD,sheep,mixed,milk,1.1443524999999999e-4
GRL,sheep,mixed,milk,1.2082298000000002e-4
GTM,sheep,mixed,milk,1.2833025e-4
GUF,sheep,mixed,milk,1.4619525e-4
GUM,sheep,mixed,milk,1.0038072888585565e-4
GUY,sheep,mixed,milk,1.3904924999999998e-4
HKG,sheep,mixed,milk,3.900525e-5
HND,sheep,mixed,milk,1.339875e-4
HRV,sheep,mixed,milk,5.33568e-5
HTI,sheep,mixed,milk,1.1344275e-4
HUN,sheep,mixed,milk,9.766199999999999e-5
IDN,sheep,mixed,milk,9.676874999999999e-5
IMN,sheep,mixed,milk,7.294874999999999e-6
IND,sheep,mixed,milk,1.6376249999999998e-4
IOT,sheep,mixed,milk,8.720353125e-5
IRL,sheep,mixed,milk,6.259302408653847e-5
IRN,sheep,mixed,milk,1.0004399999999999e-4
IRQ,sheep,mixed,milk,1.1344275e-4
ISL,sheep,mixed,milk,9.0274078125e-5
ISR,sheep,mixed,milk,1.2922350000000001e-4
ITA,sheep,mixed,milk,2.0842500000000002e-5
JAM,sheep,mixed,milk,1.2892575e-4
JEY,sheep,mixed,milk,7.294875e-5
JOR,sheep,mixed,milk,1.20291e-4
JPN,sheep,mixed,milk,1.0093725e-4
KAZ,sheep,mixed,milk,1.3607175000000002e-4
KEN,sheep,mixed,milk,9.528000000000001e-5
KGZ,sheep,mixed,milk,1.316055e-4
KHM,sheep,mixed,milk,7.294875e-5
KIR,sheep,mixed,milk,1.0038072888585565e-4
KNA,sheep,mixed,milk,1.1443524999999999e-4
KOR,sheep,mixed,milk,1.0451024999999999e-4
KWT,sheep,mixed,milk,1.17909e-4
LAO,sheep,mixed,milk,7.086449999999999e-5
LBN,sheep,mixed,milk,1.27437e-4
LBR,sheep,mixed,milk,7.711724999999999e-5
LBY,sheep,mixed,milk,8.39655e-5
LCA,sheep,mixed,milk,1.0034175e-4
LIE,sheep,mixed,milk,1.3480929e-4
LKA,sheep,mixed,milk,6.878024999999999e-5
LSO,sheep,mixed,milk,7.533074999999998e-5
LTU,sheep,mixed,milk,7.193640000000001e-5
LUX,sheep,mixed,milk,1.100484e-4
LVA,sheep,mixed,milk,1.0047276000000001e-4
MAC,sheep,mixed,milk,9.8456e-5
MAF,sheep,mixed,milk,1.1358515217391304e-4
MAR,sheep,mixed,milk,8.128574999999999e-5
MCO,sheep,mixed,milk,1.3974896250000003e-4
MDA,sheep,mixed,milk,8.416399999999999e-5
MDG,sheep,mixed,milk,1.0034175e-4
MDV,sheep,mixed,milk,9.892743750000001e-5
MEX,sheep,mixed,milk,1.26246e-4
MHL,sheep,mixed,milk,1.0038072888585565e-4
MKD,sheep,mixed,milk,5.346796000000001e-5
MLI,sheep,mixed,milk,9.974625000000001e-5
