"lon","lat","iso3c","area_ha","prod"
79.269,10.239944,"IND",NA,NA
104.920864,8.899944,"VNM",NA,NA
-80.24742,-2.13254,"ECU",NA,NA
105.227733,8.773919,"VNM",NA,NA
105.259939,8.801267,"VNM",NA,NA
105.226952,8.783594,"VNM",NA,NA
105.245911,8.788222,"VNM",NA,NA
105.241425,8.7946,"VNM",NA,NA
81.804556,16.504917,"IND",NA,NA
81.802708,16.505383,"IND",NA,NA
81.800778,16.508167,"IND",NA,NA
72.857265,20.965182,"IND",NA,NA
82.266753,16.776664,"IND",NA,NA
82.096008,16.860423,"IND",NA,NA
81.603717,16.688481,"IND",NA,NA
-71.949374,10.128371,"VEN",NA,NA
-87.414097,13.157444,"HND",NA,NA
-87.439722,13.265833,"HND",NA,NA
87.04,21.48,"IND",NA,NA
-80.325486,-2.634347,"ECU",NA,NA
111.693417,21.596472,"CHN",NA,NA
-109.820531,26.852353,"MEX",NA,NA
-111.848433,28.683878,"MEX",NA,NA
-111.829639,28.719989,"MEX",NA,NA
-111.836244,28.782661,"MEX",NA,NA
105.596001,9.150155,"VNM",NA,NA
100.321908,7.959906,"THA",NA,NA
80.106872,14.39354,"IND",NA,NA
106.038569,9.418278,"VNM",NA,NA
-71.347176,9.081857,"VEN",NA,NA
44.491667,-16.569444,"MDG",NA,NA
-71.027481,11.074353,"VEN",NA,NA
104.592,10.381,"VNM",NA,NA
80.171275,14.586425,"IND",NA,NA
105.961519,9.295089,"VNM",NA,NA
-80.3934,7.413,"PAN",NA,NA
79.844083,11.200694,"IND",NA,NA
106.527808,9.728119,"VNM",NA,NA
-87.560336,13.389225,"HND",NA,NA
88.025556,22.023556,"IND",NA,NA
88.025556,22.023556,"IND",NA,NA
87.923275,22.114625,"IND",NA,NA
87.923275,22.114625,"IND",NA,NA
-87.412467,13.158244,"HND",NA,NA
-87.402256,13.146278,"HND",NA,NA
-87.412467,13.174911,"HND",NA,NA
105.321314,8.867517,"VNM",NA,NA
105.448768,9.272798,"VNM",NA,NA
-79.972397,0.175127,"ECU",NA,NA
-79.927336,0.287307,"ECU",NA,NA
-79.921113,0.249799,"ECU",NA,NA
-79.997319,0.283229,"ECU",NA,NA
-80.005473,0.317647,"ECU",NA,NA
-80.00101,0.251472,"ECU",NA,NA
87.685611,21.834833,"IND",NA,NA
87.684694,21.835417,"IND",NA,NA
87.685583,21.837472,"IND",NA,NA
87.68575,21.83794,"IND",NA,NA
87.69385,21.84928,"IND",NA,NA
87.69385,21.84928,"IND",NA,NA
87.68781,21.83582,"IND",NA,NA
87.68659,21.83489,"IND",NA,NA
87.68526,21.83874,"IND",NA,NA
87.68526,21.83874,"IND",NA,NA
87.68738,21.83637,"IND",NA,NA
87.69085,21.83302,"IND",NA,NA
87.69151,21.83606,"IND",NA,NA
87.69151,21.83606,"IND",NA,NA
87.68812,21.83564,"IND",NA,NA
87.68378,21.83924,"IND",NA,NA
87.68164,21.83647,"IND",NA,NA
87.68772,21.83386,"IND",NA,NA
87.68875,21.83454,"IND",NA,NA
87.68696,21.83526,"IND",NA,NA
87.68454,21.83475,"IND",NA,NA
87.68477,21.83482,"IND",NA,NA
87.68332,21.83194,"IND",NA,NA
87.6814,21.83651,"IND",NA,NA
87.68234,21.83559,"IND",NA,NA
113.404261,-8.380153,"IDN",NA,NA
109.231111,13.618889,"VNM",NA,NA
105.972622,9.423728,"VNM",NA,NA
105.973031,9.422819,"VNM",NA,NA
105.972619,9.414542,"VNM",NA,NA
105.972269,9.415903,"VNM",NA,NA
105.965817,9.398367,"VNM",NA,NA
105.964914,9.401564,"VNM",NA,NA
105.972631,9.417522,"VNM",NA,NA
105.972481,9.417561,"VNM",NA,NA
105.965844,9.397411,"VNM",NA,NA
105.973139,9.408767,"VNM",NA,NA
105.972575,9.417136,"VNM",NA,NA
105.966892,9.398739,"VNM",NA,NA
98.398417,8.965222,"THA",NA,NA
98.400083,8.970139,"THA",NA,NA
98.234389,8.726083,"THA",NA,NA
-72.055717,9.910764,"VEN",NA,NA
-72.144308,9.839819,"VEN",NA,NA
104.587191,10.26798,"VNM",NA,NA
-87.172578,13.094828,"HND",NA,NA
-87.420875,13.347744,"HND",NA,NA
-87.436353,13.314647,"HND",NA,NA
99.774,6.958694,"THA",NA,NA
-80.270556,-2.667778,"ECU",NA,NA
105.439833,9.167383,"VNM",NA,NA
105.492425,9.165886,"VNM",NA,NA
105.500375,9.141833,"VNM",NA,NA
105.470111,9.116461,"VNM",NA,NA
105.49245,9.154469,"VNM",NA,NA
81.684111,16.513861,"IND",NA,NA
106.161389,9.423611,"VNM",NA,NA
102.612222,12.291944,"THA",NA,NA
106.044961,9.422633,"VNM",NA,NA
106.650363,10.030199,"VNM",NA,NA
106.529569,9.727928,"VNM",NA,NA
106.531072,9.729136,"VNM",NA,NA
81.763056,16.456944,"IND",NA,NA
81.304167,16.320556,"IND",NA,NA
81.763147,16.456936,"IND",NA,NA
81.603719,16.68847,"IND",NA,NA
106.038544,9.419406,"VNM",NA,NA
106.03415,9.426547,"VNM",NA,NA
106.041458,9.426617,"VNM",NA,NA
106.044383,9.431094,"VNM",NA,NA
106.043047,9.427889,"VNM",NA,NA
