wf_type,fips_code,country,split_rest_names,m3_per_ton
blue,AC01,AC,bana,3
blue,AC01,AC,orts,32
blue,AC01,AC,swpo,4
blue,AC01,AC,trof,1.75
blue,AC01,AC,vege,36.7
blue,AC02,AC,vege,169
blue,AC999,AC,bana,3
blue,AC999,AC,orts,32
blue,AC999,AC,swpo,4
blue,AC999,AC,trof,1.75
blue,AC999,AC,vege,37.4
blue,AE01,AE,bana,0
blue,AE01,AE,pota,45
blue,AE01,AE,temf,895.5
blue,AE01,AE,tnut,620
blue,AE01,AE,trof,244.57142857142858
blue,AE01,AE,vege,53.785714285714285
blue,AE01,AE,whea,436
blue,AE02,AE,temf,1030
blue,AE02,AE,vege,765
blue,AE02,AE,whea,16
blue,AE03,AE,bana,0
blue,AE03,AE,pota,143
blue,AE03,AE,temf,1053
blue,AE03,AE,tnut,344
blue,AE03,AE,trof,750.2857142857143
blue,AE03,AE,vege,185.78571428571428
blue,AE03,AE,whea,543
blue,AE04,AE,temf,3449
blue,AE04,AE,vege,703
blue,AE04,AE,whea,971
blue,AE05,AE,bana,214
blue,AE05,AE,pota,208
blue,AE05,AE,temf,2006.5
blue,AE05,AE,tnut,1444
blue,AE05,AE,trof,1164.7142857142858
blue,AE05,AE,vege,222.5
blue,AE05,AE,whea,1060
blue,AE06,AE,bana,0
blue,AE06,AE,pota,52
blue,AE06,AE,temf,1618.5
blue,AE06,AE,tnut,462
blue,AE06,AE,trof,487.14285714285717
blue,AE06,AE,vege,181.78571428571428
blue,AE06,AE,whea,487
blue,AE07,AE,bana,0
blue,AE07,AE,pota,203
blue,AE07,AE,temf,1448.5
blue,AE07,AE,tnut,1386
blue,AE07,AE,trof,1233.4285714285713
blue,AE07,AE,vege,186.92857142857142
blue,AE07,AE,whea,1087
blue,AE999,AE,bana,12
blue,AE999,AE,pota,75
blue,AE999,AE,temf,1027
blue,AE999,AE,tnut,1437
blue,AE999,AE,trof,478.42857142857144
blue,AE999,AE,vege,158.07142857142858
blue,AE999,AE,whea,508
blue,AF01,AF,barl,914
blue,AF01,AF,cott,5482
blue,AF01,AF,maiz,3399
blue,AF01,AF,ooil,5864
blue,AF01,AF,opul,2167
blue,AF01,AF,pota,60
blue,AF01,AF,rice,1984
blue,AF01,AF,sesa,2793
blue,AF01,AF,spis,6119
blue,AF01,AF,sunf,3110
blue,AF01,AF,temf,1046.888888888889
blue,AF01,AF,tnut,3506.25
blue,AF01,AF,trof,286.3333333333333
blue,AF01,AF,vege,472
blue,AF01,AF,whea,32
blue,AF02,AF,barl,1555
blue,AF02,AF,cott,7593
blue,AF02,AF,maiz,4786
blue,AF02,AF,ooil,9873
blue,AF02,AF,opul,3329
blue,AF02,AF,pota,141
blue,AF02,AF,rice,2326
blue,AF02,AF,spis,8303
blue,AF02,AF,sunf,4529
blue,AF02,AF,temf,1201.75
blue,AF02,AF,tnut,7379.5
blue,AF02,AF,trof,337
blue,AF02,AF,vege,658
blue,AF02,AF,whea,176
blue,AF03,AF,barl,1797
blue,AF03,AF,cott,7095
blue,AF03,AF,maiz,3896
blue,AF03,AF,ooil,8078
blue,AF03,AF,opul,2671
blue,AF03,AF,pota,92
blue,AF03,AF,rice,2212
blue,AF03,AF,spis,7461
blue,AF03,AF,sunf,4097
blue,AF03,AF,temf,984.75
blue,AF03,AF,tnut,5987.5
blue,AF03,AF,trof,294
blue,AF03,AF,vege,594
blue,AF03,AF,whea,89
blue,AF05,AF,barl,1071
blue,AF05,AF,cott,6935
blue,AF05,AF,maiz,4250
blue,AF05,AF,ooil,7990.5
blue,AF05,AF,opul,2858
blue,AF05,AF,pota,93
blue,AF05,AF,rice,2375
blue,AF05,AF,spis,7580
blue,AF05,AF,sunf,3890
blue,AF05,AF,temf,991.75
blue,AF05,AF,tnut,6148
blue,AF05,AF,trof,297
blue,AF05,AF,vege,596
blue,AF05,AF,whea,102
blue,AF06,AF,barl,2406
blue,AF06,AF,cott,9375
blue,AF06,AF,maiz,5351
blue,AF06,AF,ooil,12926
blue,AF06,AF,opul,4008
blue,AF06,AF,pota,254
blue,AF06,AF,rice,2862
blue,AF06,AF,spis,10310
blue,AF06,AF,sunf,5614
blue,AF06,AF,temf,1611
blue,AF06,AF,tnut,9986.5
blue,AF06,AF,trof,417
blue,AF06,AF,vege,802
blue,AF06,AF,whea,851
blue,AF07,AF,barl,2284
blue,AF07,AF,cott,7802
blue,AF07,AF,maiz,4783
blue,AF07,AF,ooil,10391.5
blue,AF07,AF,opul,3466
blue,AF07,AF,pota,134
blue,AF07,AF,rice,2549
blue,AF07,AF,spis,8755
blue,AF07,AF,sunf,4793
blue,AF07,AF,temf,1249.625
blue,AF07,AF,tnut,7507
blue,AF07,AF,trof,359
blue,AF07,AF,vege,598
blue,AF07,AF,whea,315
blue,AF08,AF,barl,1927
blue,AF08,AF,cott,4592
blue,AF08,AF,maiz,4002
blue,AF08,AF,ooil,7757.5
blue,AF08,AF,opul,2807
blue,AF08,AF,pota,118
blue,AF08,AF,rice,2374
blue,AF08,AF,spis,7200
blue,AF08,AF,sunf,3789
blue,AF08,AF,temf,1023.25
blue,AF08,AF,tnut,6382
blue,AF08,AF,trof,270
blue,AF08,AF,vege,566
blue,AF08,AF,whea,403
blue,AF09,AF,barl,1555
blue,AF09,AF,cott,8867
blue,AF09,AF,maiz,5365
blue,AF09,AF,ooil,11363
blue,AF09,AF,opul,3801
blue,AF09,AF,pota,167
blue,AF09,AF,rice,2912
blue,AF09,AF,spis,9831
blue,AF09,AF,sunf,5257
blue,AF09,AF,temf,1385.625
blue,AF09,AF,tnut,8607
blue,AF09,AF,trof,394
blue,AF09,AF,vege,769
blue,AF09,AF,whea,316
blue,AF10,AF,barl,3487
blue,AF10,AF,cott,6248
blue,AF10,AF,maiz,6014
