iso3c,animal_system,SPAM_super,tonnes_product
ABW,buffaloes_grassland_meat,maiz,0
ABW,buffaloes_grassland_meat,ocer,0
ABW,buffaloes_grassland_meat,oilp,0
ABW,buffaloes_grassland_meat,soyb,0
ABW,buffaloes_grassland_meat,sugb,0
ABW,buffaloes_grassland_meat,xoil,0
ABW,buffaloes_grassland_milk,maiz,0
ABW,buffaloes_grassland_milk,ocer,0
ABW,buffaloes_grassland_milk,oilp,0
ABW,buffaloes_grassland_milk,soyb,0
ABW,buffaloes_grassland_milk,sugb,0
ABW,buffaloes_grassland_milk,xoil,0
ABW,buffaloes_mixed_meat,maiz,0
ABW,buffaloes_mixed_meat,ocer,0
ABW,buffaloes_mixed_meat,oilp,0
ABW,buffaloes_mixed_meat,soyb,0
ABW,buffaloes_mixed_meat,sugb,0
ABW,buffaloes_mixed_meat,xoil,0
ABW,buffaloes_mixed_milk,maiz,0
ABW,buffaloes_mixed_milk,ocer,0
ABW,buffaloes_mixed_milk,oilp,0
ABW,buffaloes_mixed_milk,soyb,0
ABW,buffaloes_mixed_milk,sugb,0
ABW,buffaloes_mixed_milk,xoil,0
ABW,chickens_backyard_eggs&meat,bana,0
ABW,chickens_backyard_eggs&meat,barl,0
ABW,chickens_backyard_eggs&meat,cass,0
ABW,chickens_backyard_eggs&meat,maiz,0
ABW,chickens_backyard_eggs&meat,oilp,0
ABW,chickens_backyard_eggs&meat,rice,0
ABW,chickens_backyard_eggs&meat,sorg,0
ABW,chickens_backyard_eggs&meat,soyb,0
ABW,chickens_backyard_eggs&meat,sugb,0
ABW,chickens_backyard_eggs&meat,whea,0
ABW,chickens_backyard_eggs&meat,xmil,0
ABW,chickens_backyard_eggs&meat,xoil,0
ABW,chickens_backyard_eggs&meat,xpul,0
ABW,chickens_industrial_eggs,bana,0
ABW,chickens_industrial_eggs,barl,0
ABW,chickens_industrial_eggs,cass,0
ABW,chickens_industrial_eggs,maiz,0
ABW,chickens_industrial_eggs,oilp,0
ABW,chickens_industrial_eggs,rice,0
ABW,chickens_industrial_eggs,sorg,0
ABW,chickens_industrial_eggs,soyb,0
ABW,chickens_industrial_eggs,sugb,0
ABW,chickens_industrial_eggs,whea,0
ABW,chickens_industrial_eggs,xmil,0
ABW,chickens_industrial_eggs,xoil,0
ABW,chickens_industrial_eggs,xpul,0
ABW,chickens_industrial_meat,bana,0
ABW,chickens_industrial_meat,barl,0
ABW,chickens_industrial_meat,cass,0
ABW,chickens_industrial_meat,maiz,0
ABW,chickens_industrial_meat,oilp,0
ABW,chickens_industrial_meat,rice,0
