lat,lon,area_ha,iso3c
-0.952238,-48.466718,70,BRA
-2.365963,-44.263791,64,BRA
-2.859201,-41.551117,425,BRA
-3.646201,-38.627546,982,BRA
-5.100375,-35.667111,1752,BRA
-7.089602,-34.818058,420,BRA
-8.11531,-34.840892,670,BRA
-9.700209,-35.739681,20,BRA
-10.991527,-37.030238,47,BRA
-13.046432,-38.515139,1510,BRA
-25.535885,-48.268714,50,BRA
-27.505551,-48.393581,200,BRA
